的	〔白勹丶丶_rqyy〕
洹	〔氵一日一_igjg〕
浜	〔氵一八_irgw〕
姣	〔女六乂丶_vury〕
楝	〔木木丶_ssly〕
轫	〔刀丶丶_lvyy〕
犒	〔牜冂口_tymk〕
氙	〔⺄山〢_rnmj〕
忐	〔上心⺀_hnu〕
睃	〔目厶八夂_hcwt〕
秣	〔禾一木丶_tgsy〕
皙	〔木斤白二_srrf〕
窈	〔幺力𰀪_pxer〕
窕	〔儿⺀_pqiu〕
耒	〔三小氵_dii〕
颛	〔山丆⺵贝_mdmm〕
蜃	〔辰虫⺀_deju〕
舣	〔丿丶乂_tuyr〕
趵	〔𧾷勹丶丶_lqyy〕
跛	〔𧾷皮丶_lby〕
踟	〔𧾷𠂉大口_ltdk〕
鲡	〔一一丶_qggy〕
鲱	〔一丨三_qghd〕
咿	〔口亻尹丿_kwvt〕
骈	〔马䒑廾丨_cuah〕
狙	〔犭月一一_eegg〕
侩	〔亻人二厶_wwfc〕
痈	〔疒用〣_uek〕
陔	〔阝亠亥丶_byny〕
垅	〔土𠂇𠤎丶_fdxy〕
撙	〔扌丷酉寸_rusf〕
喾	〔𰃮⺧口二_iekf〕
嗉	〔口龶幺小_kgxi〕
恂	〔忄勹日一_nqjg〕
戕	〔爿戈丶_uay〕
浞	〔氵足丶_ily〕
邈	〔豸白儿辶_erqp〕
骁	〔马𫠠丿兀_catg〕
骐	〔马八丶_cdwy〕
邕	〔巛口巴巜_vkcb〕
珞	〔王夂口一_gtkg〕
琨	〔王日匕_gjxx〕
杼	〔木予丨_sch〕
柘	〔木丆口一_sdkg〕
棹	〔木⺊早丨_shjh〕
暌	〔日癶一大_jwgd〕
媵	〔月龹女一_euvg〕
镎	〔钅口手_qwkr〕
镏	〔钅刀田_qqvl〕
疝	〔疒山〣_umk〕
蚱	〔虫𠂉丨二_jthf〕
蛉	〔虫人丶_jwpy〕
罄	〔士𠃜几山_fnwm〕
箬	〔𥫗艹𠂇口_tadk〕
跖	〔𧾷丆口一_ldkg〕
蹁	〔𧾷户𠕁丨_lomh〕
蹼	〔𧾷业丷人_louw〕
鲳	〔一日日_qgjj〕
鳅	〔一禾火_qgto〕
骷	〔月古一_medg〕
髅	〔月米女_meov〕
墒	〔土冂口_fumk〕
呱	〔口爪厶丶_krcy〕
绻	〔纟龹⺋𡿨_xubn〕
秕	〔禾匕𡿨_txxn〕
痉	〔疒工三_ucad〕
泅	〔氵囗人一_ilwg〕
孬	〔丆卜女子_dhvb〕
侬	〔亻冖𧘇丶_wpey〕
诓	〔讠匚王𡿨_yagn〕
谳	〔讠十犬_yfmd〕
掮	〔扌户月一_roeg〕
啁	〔口⺆土口_kmfk〕
崴	〔山戊一丶_mdgy〕
獾	〔犭艹口_eaky〕
忪	〔忄八厶丶_nwcy〕
妯	〔女冂土一_vmfg〕
玳	〔王亻弋丶_gway〕
刖	〔月刂丨_ejh〕
髑	〔月罒虫_melj〕
讫	〔讠𠂉乙𡿨_ytnn〕
瘸	〔疒力口人_uekw〕
獭	〔犭木口贝_eskm〕
刎	〔勹𰀪刂丨_qrjh〕
仉	〔亻几𡿨_wwn〕
伥	〔亻丿丶_wtay〕
僖	〔亻士豆口_wflk〕
羸	〔吂月䒑丶_yeuy〕
讦	〔讠二丨丨_yfhh〕
谇	〔讠亠人十_yywf〕
茛	〔艹艮⺀_avu〕
菰	〔艹子爪厶_abrc〕
啵	〔口氵皮丶_kiby〕
峥	〔山⺈彐亅_mqvh〕
獬	〔犭⺈用牛_eqer〕
庖	〔广勹巳巛_oqnv〕
忤	〔忄𠂉十丨_ntfh〕
怊	〔忄刀口一_nvkg〕
懔	〔忄亠囗小_nyli〕
洇	〔氵囗大一_ildg〕
濉	〔氵目亻_ihwy〕
彘	〔彑𠂉匕_xxtx〕
艴	〔弓⺈巴_xjqc〕
嫠	〔二小攵女_fitv〕
绾	〔纟宀丨㠯_xphn〕
缃	〔纟木目一_xshg〕
玑	〔王几𡿨_gwn〕
珉	〔王𫠠𡿨_gnan〕
旮	〔九日二_vjf〕
虢	〔爫寸几_efhw〕
豚	〔月一𧰨丶_egey〕
腧	〔月刖丨_eweh〕
膑	〔月宀八_eprw〕
硖	〔石一丷大_dgud〕
钣	〔钅𠂆又丶_qrcy〕
锞	〔钅日木丶_qjsy〕
镒	〔钅䒑八皿_quwl〕
镥	〔钅一日_qqgj〕
镫	〔钅癶一豆_qwgl〕
耖	〔三小少丿_diit〕
颞	〔耳又又贝_bccm〕
螨	〔虫艹一人_jagw〕
簋	〔𥫗艮皿二_tvlf〕
舡	〔丿工一_tuag〕
舭	〔丿匕_tuxx〕
袈	〔力口亠𧘇_ekye〕
糗	〔米丿目犬_othd〕
酽	〔西一一丿_sggt〕
踅	〔扌斤足⺀_rrlu〕
跹	〔𧾷丿十辶_ltfp〕
巽	〔巳巳龷八_nnaw〕
螂	〔虫丶阝_jyvb〕
佞	〔亻二女一_wfvg〕
诠	〔讠人王一_ywgg〕
阽	〔阝⺊口一_bhkg〕
圹	〔土广丿_fot〕
埴	〔土十一_ffhg〕
堙	〔土覀土一_fsfg〕
塄	〔土⺫方丿_flyt〕
蕺	〔艹口耳丶_akby〕
蘼	〔艹广木三_aosd〕
摁	〔扌囗大心_rldn〕
撄	〔扌贝贝女_rmmv〕
撷	〔扌士口贝_rfkm〕
撸	〔扌一日_rqgj〕
呓	〔口艹乙𡿨_kann〕
噻	〔口寒八土_kpwf〕
帙	〔冂丨人_mhrw〕
憷	〔忄木木龰_nssh〕
沔	〔氵一丨㇆_ighn〕
沆	〔氵亠几𡿨_iywn〕
沩	〔氵为丶_ioy〕
泔	〔氵卄二一_iafg〕
潴	〔氵犭耂日_iefj〕
澉	〔氵𠃍耳攵_inbt〕
娆	〔女𫠠丿兀_vatg〕
骅	〔马亻𠤎十_cwxf〕
缣	〔纟䒑丶_xuvy〕
韪	〔日一龰韦_jghh〕
栎	〔木丿𠃋小_stni〕
栾	〔亠木⺀_yosu〕
桴	〔木爫子一_sebg〕
榀	〔木口口口_skkk〕
椴	〔木亻三又_swdc〕
觋	〔工人人_awwq〕
炱	〔厶口火⺀_ckou〕
戆	〔立早夂心_ujtn〕
畎	〔田犬丶_ldy〕
盍	〔土厶皿二_fclf〕
铷	〔钅女口一_qvkg〕
鹗	〔口口二鸟_kkfq〕
蝻	〔虫十丨_jfmh〕
笱	〔𥫗勹口二_tqkf〕
舢	〔丿山丨_tumh〕
羯	〔䒑日ㄥ_ugjn〕
醢	〔西一𠂇皿_sgdl〕
麇	〔匕禾氵_oxti〕
佟	〔亻夂⺀丶_wtuy〕
谡	〔讠田八夂_ylwt〕
谶	〔讠人人一_ywwg〕
堞	〔土廿ㄥ木_fans〕
莪	〔艹我⺀_aqu〕
蕻	〔艹镸龷八_adaw〕
叻	〔口力丿_ket〕
哙	〔口人二厶_kwfc〕
咤	〔口宀丿七_kpta〕
淝	〔氵月巴𡿨_iecn〕
逅	〔𠂋口辶三_rkpd〕
遑	〔白王辶三_rgpd〕
尕	〔乃小⺀_biu〕
棂	〔木彐火丶_svoy〕
氅	〔⺌冂口毛_imke〕
腙	〔月宀二小_epfi〕
磙	〔石六厶𧘇_duce〕
铟	〔钅囗大一_qldg〕
矬	〔𠂉大人土_tdwf〕
稃	〔禾爫子一_tebg〕
瘌	〔疒木口刂_uskj〕
癯	〔疒目目_uhhy〕
颉	〔士口丆贝_fkdm〕
趱	〔走⺧儿贝_heqm〕
踺	〔𧾷彐𰀁廴_lvgp〕
扦	〔扌丿十丨_rtfh〕
胱	〔月⺌兀𡿨_eign〕
糌	〔米夂卜日_othj〕
誊	〔龹言二_uyf〕
诟	〔讠𠂋口一_yrkg〕
陉	〔阝工一_bcag〕
隗	〔阝白厶_brqc〕
郜	〔⺧口阝丨_ekbh〕
垭	〔土一业一_fgog〕
埘	〔土日寸丶_fjfy〕
荬	〔艹乛⺀大_anud〕
莼	〔艹纟一𡳾_axgb〕
菟	〔艹⺈口丶_aqky〕
葩	〔艹白巴巜_arcb〕
摺	〔扌羽白一_rnrg〕
甙	〔𫠠卄二丶_aafy〕
啭	〔口二丶_klfy〕
嗫	〔口耳又又_kbcc〕
嘧	〔口宀心山_kpnm〕
馊	〔饣臼丨又_tehc〕
悌	〔忄丷弓丿_nuxt〕
慵	〔忄广彐丨_novh〕
洚	〔氵夂匸丨_itah〕
潋	〔氵攵_iwit〕
蹇	〔寒八足⺀_pwlu〕
椐	〔木尸古一_sndg〕
赉	〔一米贝⺀_gomu〕
煳	〔火古月一_odeg〕
戽	〔户⺀十〣_oufk〕
愆	〔彳氵一心_tign〕
铹	〔钅艹冖力_qape〕
锴	〔钅匕白_qxxr〕
镆	〔钅艹日大_qajd〕
窨	〔立日二_pujf〕
窳	〔爪厶厶_prcc〕
褊	〔衤户𠕁丨_pomh〕
褫	〔衤𠂆几_prhw〕
篁	〔𥫗白王二_trgf〕
舸	〔丿丁口_tusk〕
糅	〔米矛木丶_ocsy〕
趔	〔走一夕刂_hgqj〕
龃	〔止齿月一_hbeg〕
縻	〔广木幺小_osxi〕
苌	〔艹丿丶_atay〕
荽	〔艹爫女二_aevf〕
搠	〔扌䒑屮月_rube〕
渌	〔氵彐氺丶_iviy〕
灞	〔氵雨廿月_ifae〕
骛	〔矛攵马二_ctcf〕
齑	〔文丨一_yjhg〕
硐	〔石冂一口_dmgk〕
聱	〔攵耳二_gtbf〕
虻	〔虫亠ㄥ𡿨_jynn〕
蝣	〔虫方𠂉子_jytb〕
螳	〔虫口土_jikf〕
筘	〔𥫗扌口二_trkf〕
篌	〔𥫗亻大_twnd〕
麋	〔匕米氵_oxoi〕
鹫	〔小𠂇鸟_yidq〕
蹿	〔𧾷口丨_lpkh〕
娠	〔女辰丶_vdey〕
伛	〔亻匚乂𡿨_warn〕
唏	〔口乂𠂇丨_krdh〕
嘭	〔口士豆彡_kfle〕
幄	〔冂丨尸至_mhnc〕
徉	〔彳䒑𰀁丨_tugh〕
溆	〔氵木又_iwsc〕
枧	〔木冂𡿨_smqn〕
殒	〔一夕口贝_gqkm〕
氆	〔毛䒑业日_euoj〕
钪	〔钅亠几𡿨_qywn〕
铼	〔钅一米丶_qgoy〕
秭	〔禾丿ㄅ丿_ttnt〕
鹈	〔丷弓丨鸟_uxhq〕
瘊	〔疒亻大_uwnd〕
褡	〔衤艹口_pawk〕
螫	〔土攵虫_fotj〕
赧	〔土ㄗ又_fobc〕
趼	〔𧾷一廾丨_lgah〕
雏	〔⺈彐亻_qvwy〕
珐	〔王土厶丶_gfcy〕
疹	〔疒人彡彡_uwee〕
芈	〔丨一⺊𰀁_hghg〕
伉	〔亻亠几𡿨_wywn〕
倥	〔亻工一_wpag〕
诼	〔讠一𧰨丶_ygey〕
邬	〔勹ㄅ一阝_qngb〕
郄	〔乂𠂇厶阝_rdcb〕
荑	〔艹一弓人_agxw〕
莘	〔艹辛〢_auj〕
蓁	〔艹三人禾_adwt〕
辔	〔车纟纟口_lxxk〕
岫	〔山冂土一_mmfg〕
峄	〔山又𰀁丨_mcgh〕
崞	〔山子一_mybg〕
忝	〔一大⺗⺀_gdiu〕
洫	〔氵丿皿一_itlg〕
洳	〔氵女口一_ivkg〕
湔	〔氵䒑刖丨_iueh〕
濮	〔氵亻业人_iwow〕
瀹	〔氵口𠕁_iwkm〕
迨	〔厶口辶三_ckpd〕
缋	〔纟贝丶_xkmy〕
枥	〔木厂力丿_sdet〕
棼	〔木木八刀_sswv〕
殍	〔一夕爫子_gqeb〕
昱	〔日立二_juf〕
赅	〔贝亠亥丶_myny〕
擘	〔𡰪辛手〢_nurj〕
旒	〔方𠂉亠_ytyk〕
燹	〔一𧰨一火_gego〕
砭	〔石丿之丶_dtpy〕
碓	〔石亻一_dwyg〕
黻	〔业㡀𠂇丶_oidy〕
睐	〔目一米丶_hgoy〕
畀	〔田丌〢_laj〕
钐	〔钅彡丿_qet〕
锝	〔钅日一寸_qjgf〕
镛	〔钅广彐丨_qovh〕
鸷	〔扌丸鸟二_rvqf〕
疬	〔疒厂力彡_udee〕
癍	〔疒王文王_ugyg〕
颡	〔又又木贝_ccsm〕
蜢	〔虫子皿一_jblg〕
衾	〔人𪜊亠𧘇_wnye〕
骶	〔月丶_meqy〕
啄	〔口一𧰨丶_kgey〕
鳗	〔一日又_qgjc〕
佰	〔亻丆日一_wdjg〕
妊	〔女丿士一_vtfg〕
兕	〔丨㇅冂儿_hnmq〕
诮	〔讠⺌月一_yieg〕
谲	〔讠矛冂口_ycmk〕
邶	〔阝丨_uxbh〕
鄢	〔一止一阝_ghgb〕
圯	〔土巳𡿨_fnn〕
茔	〔艹冖土二_apff〕
茕	〔艹冖⺄十_apnf〕
茈	〔艹止匕巜_ahxb〕
蕨	〔艹厂䒑人_aduw〕
抟	〔扌二ㄅ丶_rfny〕
摭	〔扌广廿灬_roao〕
囹	〔囗人氵_lwpi〕
帼	〔冂丨囗丶_mhly〕
愎	〔忄𠂉日夂_ntjt〕
汜	〔氵巳𡿨_inn〕
洧	〔氵𠂇月一_ideg〕
洙	〔氵𡭔丶_iriy〕
澍	〔氵士豆寸_iflf〕
逡	〔厶八夂辶_cwtp〕
遨	〔攵辶氵_gtpi〕
邂	〔⺈用刀辶_qevp〕
妗	〔女人𪜊𡿨_vwnn〕
嬖	〔𡰪辛女二_nuvf〕
绡	〔纟⺌月一_xieg〕
甾	〔巛田二_vlf〕
梃	〔木丿士廴_stfp〕
桷	〔木⺈用丨_sqeh〕
榧	〔木匚丨三_sahd〕
辋	〔冂䒑ㄥ_lmun〕
昕	〔日斤丨_jrh〕
炷	〔火丶王一_oygg〕
祓	〔礻𠂇又丶_pdcy〕
碇	〔石宀一龰_dpgh〕
罟	〔罒古二_ldf〕
钗	〔钅叉丶_qcy〕
铊	〔钅宀匕𡿨_qpxn〕
铤	〔钅丿士廴_qtfp〕
镡	〔钅覀早丨_qsjh〕
鸩	〔冖鸟一_pqqg〕
鹆	〔八人口鸟_wwkq〕
鹉	〔一𫠠止鸟_gahq〕
鹧	〔广廿灬鸟_oaoq〕
瘐	〔疒臼人氵_uewi〕
瘰	〔疒田幺小_ulxi〕
癃	〔疒阝夂生_ubtt〕
耨	〔三小辰寸_didf〕
聒	〔耳丿古一_btdg〕
蚶	〔虫卄二一_jafg〕
蟑	〔虫立早丨_jujh〕
笪	〔𥫗日一二_tjgf〕
羝	〔䒑丶_ugqy〕
粑	〔米巴𡿨_ocn〕
糈	〔米乛龰月_onhe〕
蹰	〔𧾷厂一寸_ldgf〕
躐	〔𧾷巛囗_lvln〕
鲆	〔一一十_qggf〕
鳇	〔一白王_qgrg〕
挛	〔亠手〢_yorj〕
睥	〔目十丨_hrfh〕
耪	〔三小方_diuy〕
靥	〔厂犬丆囬_dddl〕
鄞	〔廿口龶阝_akgb〕
酃	〔雨口口阝_fkkb〕
埒	〔土爫寸丶_fefy〕
夼	〔大川〢_dkj〕
摞	〔扌田幺小_rlxi〕
擤	〔扌丿目丌_rtha〕
哂	〔口西一_ksg〕
嗝	〔口一口_kgkm〕
噱	〔口七𧰨_khae〕
嚓	〔口宀小_kpwi〕
帏	〔冂丨韦丨_mhhh〕
崮	〔山囗古二_mldf〕
狴	〔犭匕土_exxf〕
愦	〔忄贝丶_nkmy〕
泖	〔氵丿卩_iqtb〕
骠	〔马覀二小_csfi〕
绂	〔纟𠂇又丶_xdcy〕
缒	〔纟亻㠯辶_xwnp〕
犋	〔牜八丶_thwy〕
塍	〔月龹土一_eufg〕
锒	〔钅丶艮丶_qyvy〕
锫	〔钅立口一_qukg〕
锿	〔钅𧘇丶_qyey〕
痦	〔疒五口三_ugkd〕
聃	〔耳冂土一_bmfg〕
蚬	〔虫冂𡿨_jmqn〕
蟛	〔虫士豆彡_jfle〕
笤	〔𥫗刀口二_tvkf〕
鲚	〔一文_qgyj〕
蹭	〔𧾷丷日_lulj〕
佾	〔亻八月一_wweg〕
侪	〔亻文丨_wyjh〕
倬	〔亻⺊早丨_whjh〕
傥	〔亻口儿_wikq〕
谮	〔讠匸日_yaqj〕
谵	〔讠⺈厂言_yqdy〕
陧	〔阝日土一_bjfg〕
邴	〔一冂人阝_gmwb〕
垡	〔亻戈土二_waff〕
坫	〔土⺊口一_fhkg〕
苣	〔艹匚巜_aanb〕
蒌	〔艹米女二_aovf〕
捭	〔扌十丨_rrfh〕
吣	〔口心丶_kny〕
囵	〔囗人匕巛_lwxv〕
犰	〔犭九𡿨_evn〕
犴	〔犭二丨丨_efhh〕
猓	〔犭日木丶_ejsy〕
獐	〔犭立早丨_eujh〕
庑	〔广二巛_ofqv〕
阌	〔门爫冖又_uepc〕
嬗	〔女亠囗一_vylg〕
缱	〔纟丨辶_xkhp〕
殁	〔一夕几又_gqwc〕
旰	〔日二丨丨_jfhh〕
牾	〔牜五口一_tgkg〕
彀	〔壹弓几又_fxwc〕
旃	〔方𠂉⺆亠_ytmy〕
畹	〔田宀夕⺋_lpqb〕
钽	〔钅日一一_qjgg〕
铑	〔钅耂匕𡿨_qfxn〕
铪	〔钅口一_qwkg〕
锛	〔钅大十廾_qdfa〕
镞	〔钅方𠂉大_qytd〕
鸱	〔𫠠丶鸟_qayq〕
蚩	〔屮一虫⺀_bgju〕
蜍	〔虫木丶_jwsy〕
蜴	〔虫日勹𰀪_jjqr〕
螬	〔虫一冂日_jgmj〕
襞	〔𡰪辛亠𧘇_nuye〕
翳	〔匚𠂉大羽_atdn〕
貊	〔豸丆日一_edjg〕
龈	〔止齿艮丶_hbvy〕
龊	〔止齿足丶_hbly〕
鎏	〔氵亠厶金_iycq〕
飨	〔丿人艮_xtwv〕
仟	〔亻丿十丨_wtfh〕
嘏	〔古丨又_dnhc〕
侑	〔亻𠂇月一_wdeg〕
倨	〔亻尸古一_wndg〕
偬	〔亻勹𰀪心_wqrn〕
龠	〔口口𠕁_wkkm〕
冁	〔丷尸_ulne〕
诖	〔讠土土一_yffg〕
谫	〔讠䒑刖刀_yuev〕
谯	〔讠亻灬_ywyo〕
劢	〔一勹力丿_gqet〕
鬯	〔𠂭凵匕巜_obxb〕
坌	〔八刀土二_wvff〕
垓	〔土亠亥丶_fyny〕
堀	〔土尸凵山_fnbm〕
艿	〔艹乃𰀪_abr〕
莠	〔艹禾乃𰀪_atbr〕
荻	〔艹犭火⺀_aeou〕
蓊	〔艹八厶羽_awcn〕
蕤	〔艹一𧰨生_aget〕
掊	〔扌立口一_rukg〕
搌	〔扌尸龷_rnae〕
呙	〔口冂人⺀_kmwu〕
唿	〔口勹𰀪心_kqrn〕
岵	〔山古一_mdg〕
崂	〔山艹冖力_mape〕
嵯	〔山䒑工_muga〕
嵴	〔山人月_miwe〕
獠	〔犭大丷小_edui〕
怄	〔忄匚乂𡿨_narn〕
怩	〔忄尸匕𡿨_nnxn〕
悛	〔忄厶八夂_ncwt〕
悱	〔忄丨三一_nhdg〕
闳	〔门𠂇厶氵_udci〕
阋	〔门臼儿巛_ueqv〕
阗	〔门十八_ufhw〕
泺	〔氵丿ㄥ小_itni〕
淦	〔氵金一_iqg〕
滏	〔氵八乂丷_iwru〕
澌	〔氵八斤_idwr〕
瀣	〔氵⺊夕一_ihqg〕
羼	〔尸䒑𰀁𰀁_nugg〕
妁	〔女勹丶丶_vqyy〕
绁	〔纟廿ㄥ𡿨_xann〕
缍	〔纟丿十一_xtfg〕
珏	〔王王丶丶_ggyy〕
璁	〔王丿囗心_gtln〕
桡	〔木𫠠丿兀_satg〕
槎	〔木䒑工_suga〕
樗	〔木雨二ㄅ_sffn〕
辚	〔米夕丨_loqh〕
晷	〔日夂卜口_jthk〕
赇	〔贝一氺丶_mgiy〕
牝	〔牜匕𡿨_txn〕
胨	〔月小丶_eaiy〕
胂	〔月日丨丨_ejhh〕
朐	〔月勹口一_eqkg〕
胼	〔月䒑廾丨_euah〕
欷	〔乂𠂇冂人_rdmw〕
毂	〔士冖又_fplc〕
烊	〔火丷𰀁丨_ough〕
熳	〔火日罒又_ojlc〕
燔	〔火釆田一_oolg〕
爨	〔冂一火_emgo〕
恁	〔亻丿士心_wtfn〕
畛	〔田人彡丿_lwet〕
詈	〔罒言二_lyf〕
钕	〔钅女一_qvg〕
锱	〔钅巛田一_qvlg〕
镳	〔钅匕灬_qoxo〕
鸶	〔一鸟_xxgq〕
鹚	〔䒑幺鸟一_uxqg〕
疖	〔疒卩〣_ubk〕
疱	〔疒勹巳巛_uqnv〕
疰	〔疒丶王三_uygd〕
虬	〔虫乚𡿨_jnn〕
蚪	〔虫⺀十丨_jufh〕
箨	〔𥫗扌又𰀁_trcg〕
簏	〔𥫗匕巜_toxb〕
艋	〔丿子皿_tubl〕
粞	〔米西一_osg〕
醅	〔西一立口_sguk〕
跞	〔𧾷丿ㄥ小_ltni〕
蹀	〔𧾷廿ㄥ木_lans〕
貔	〔豸丿囗匕_etlx〕
雠	〔亻讠_wyyy〕
鳕	〔一雨彐_qgfv〕
鞫	〔廿勹言_akqy〕
魇	〔厂犬白厶_ddrc〕
魉	〔白厶人_rqcw〕
餍	〔厂犬人艮_ddwv〕
滗	〔氵𥫗毛𡿨_iten〕
蠹	〔一口丨虫_gkhj〕
僳	〔亻覀米丶_wsoy〕
囟	〔丿囗乂氵_tlri〕
刳	〔大二ㄅ刂_dfnj〕
勖	〔⺜目力丿_jhet〕
叟	〔臼丨又⺀_ehcu〕
矍	〔目目亻又_hhwc〕
蕹	〔艹亠_ayxy〕
拶	〔扌巛夕丶_rvqy〕
吖	〔口丷丨丨_kuhh〕
哐	〔口匚王𡿨_kagn〕
咩	〔口䒑𰀁丨_kugh〕
哞	〔口厶牛丨_kcrh〕
喵	〔口艹田一_kalg〕
啶	〔口宀一龰_kpgh〕
徜	〔彳⺌冂口_timk〕
狯	〔犭人二厶_ewfc〕
舛	〔夕匸丨丨_qahh〕
悭	〔忄〢又土_njcf〕
阄	〔门⺈日乚_uqjn〕
洌	〔氵一夕刂_igqj〕
淠	〔氵田丌丨_ilah〕
滹	〔氵七十_ihaf〕
搴	〔寒八手〢_pwrj〕
遢	〔日羽辶三_jnpd〕
邋	〔巛囗乂辶_vlrp〕
妲	〔女日一一_vjgg〕
玎	〔王丁丨_gsh〕
琮	〔王宀二小_gpfi〕
枨	〔木丿丶_stay〕
榉	〔木八𰀁_siwg〕
檫	〔木宀小_spwi〕
肼	〔月二丨_efjh〕
朊	〔月二儿𡿨_efqn〕
腌	〔月大日乚_edjn〕
膦	〔月米夕丨_eoqh〕
碜	〔石厶大彡_dcde〕
罱	〔罒十〢_lfmj〕
钏	〔钅川丨_qkh〕
疴	〔疒丁口三_uskd〕
瘘	〔疒米女三_uovd〕
裥	〔衤门日一_pujg〕
耢	〔三小艹力_diae〕
耵	〔耳丁丨_bsh〕
聩	〔耳贝丶_bkmy〕
蚋	〔虫冂人丶_jmwy〕
蛴	〔虫文丨_jyjh〕
罂	〔贝贝山_mmrm〕
艨	〔丿艹𧰨_tuae〕
跸	〔𧾷匕十_lxxf〕
跣	〔𧾷⺧儿𡿨_leqn〕
跤	〔𧾷六乂丶_lury〕
鞯	〔廿艹子_akab〕
蓍	〔艹耂日二_afjf〕
仡	〔亻𠂉乙𡿨_wtnn〕
鲨	〔氵少一_iiqg〕
熵	〔火冂口_oumk〕
岿	〔山彐二_mjvf〕
亍	〔一丁〢_gsj〕
爻	〔乂乂⺀_rru〕
仵	〔亻𠂉十丨_wtfh〕
傩	〔亻又亻_wcwy〕
僮	〔亻立日土_wujf〕
訇	〔勹言三_qyd〕
隰	〔阝日幺灬_bjxo〕
邡	〔方阝丨_ybh〕
凼	〔水凵〣_ibk〕
墀	〔土尸氺牛_fnir〕
苴	〔艹月一二_aegf〕
荨	〔艹彐寸⺀_avfu〕
蓐	〔艹辰寸_adef〕
蓰	〔艹彳止龰_athh〕
奁	〔大匚乂巜_darb〕
捃	〔扌尹口一_rvkg〕
揸	〔扌木日一_rsjg〕
唳	〔口户犬丶_kody〕
岽	〔山小⺀_maiu〕
峤	〔山丿大_mtdj〕
嵛	〔山刖〢_mwej〕
嶷	〔山匕𠂉龰_mxth〕
狃	〔犭𠃍土一_enfg〕
猕	〔犭弓⺈小_exqi〕
馑	〔饣廿口龶_takg〕
怿	〔忄又𰀁丨_ncgh〕
阃	〔门囗木三_ulsd〕
阍	〔门𫠠日_uqaj〕
涑	〔氵木口丶_isky〕
濞	〔氵丿目丌_itha〕
濠	〔氵冖𧰨_iype〕
瀵	〔氵米田八_iolw〕
逦	〔一冂丶辶_gmyp〕
逯	〔彐⺢辶氵_vipi〕
屣	〔尸彳止龰_nthh〕
嫖	〔女覀二小_vsfi〕
嫘	〔女田幺小_vlxi〕
驽	〔女又马二_vccf〕
骓	〔马亻一_cwyg〕
绗	〔纟彳一丁_xtgs〕
珈	〔王力口一_gekg〕
瑗	〔王爫一又_gegc〕
璩	〔王七𧰨_ghae〕
榇	〔木立木丶_susy〕
殇	〔一夕𠂉𰀪_gqtr〕
殪	〔一夕壹豆_gqfl〕
晔	〔日亻𠤎十_jwxf〕
赙	〔贝甫寸丶_msfy〕
毹	〔刖毛𡿨_ween〕
歃	〔丿十臼人_tfew〕
觳	〔壹⺈用又_fqec〕
旄	〔方𠂉毛𡿨_yten〕
祧	〔礻儿丶_pqiy〕
禊	〔礻丰刀大_pdvd〕
怼	〔又寸心⺀_cfnu〕
憝	〔子攵心_ybtn〕
斫	〔石斤丨_drh〕
碥	〔石户𠕁丨_domh〕
黼	〔业㡀甫丶_oisy〕
眇	〔目少丿_hit〕
眦	〔目止匕𡿨_hhxn〕
铒	〔钅耳一_qbg〕
锖	〔钅龶月一_qgeg〕
锘	〔钅艹𠂇口_qadk〕
锸	〔钅丿十臼_qtfe〕
镝	〔钅冂古_qumd〕
矧	〔𠂉大弓丨_tdxh〕
痤	〔疒人人土_uwwf〕
衩	〔衤叉丶_pcy〕
裣	〔衤一_pwig〕
聍	〔耳宀丁丨_bpsh〕
蝽	〔虫三人日_jdwj〕
螽	〔夂⺀虫虫_tujj〕
蟊	〔矛虫虫⺀_cjju〕
缶	〔山〣_rmk〕
笄	〔𥫗一廾〢_tgaj〕
箢	〔𥫗宀夕⺋_tpqb〕
舨	〔丿𠂆又_turc〕
舻	〔丿⺊尸_tuhn〕
舾	〔丿西一_tusg〕
艟	〔丿立土_tuuf〕
醑	〔西一乛月_sgne〕
醭	〔西一业人_sgow〕
醯	〔西一亠皿_sgyl〕
趺	〔𧾷二人丶_lfwy〕
跗	〔𧾷亻寸丶_lwfy〕
踝	〔𧾷日木丶_ljsy〕
踬	〔𧾷𠂆十贝_lrfm〕
踣	〔𧾷立口一_lukg〕
躞	〔𧾷言火又_lyoc〕
霪	〔雨氵爫士_fief〕
鋈	〔氵丿大金_itdq〕
鲠	〔一一乂_qggr〕
鳏	〔一罒氺_qgli〕
鳘	〔𠂉母攵一_txtg〕
鳢	〔一冂豆_qgml〕
骰	〔月几又_mewc〕
餮	〔一夕人艮_gqwv〕
菏	〔艹氵丁口_aisk〕
乜	〔㇆乚巛_nnv〕
乩	〔⺊口乚𡿨_hknn〕
诜	〔讠⺧儿𡿨_yeqn〕
谌	〔讠八ㄥ_ydwn〕
阢	〔阝兀𡿨_bgn〕
鄹	〔耳又乑阝_bcib〕
劬	〔勹口力丿_qket〕
勐	〔已皿力丿_nlet〕
埏	〔土丿止廴_fthp〕
墉	〔土广彐丨_fovh〕
茌	〔艹亻士二_awff〕
茚	〔艹一卩_aqgb〕
茱	〔艹𡭔⺀_ariu〕
荞	〔艹丿大_atdj〕
菥	〔艹木斤〢_asrj〕
菘	〔艹木八厶_aswc〕
萜	〔艹冂丨口_amhk〕
菔	〔艹月ㄗ又_aebc〕
菅	〔艹宀丨㠯_aphn〕
葳	〔艹戊一丶_adgy〕
